"homestatecode","salestatecode","month","year","txn_count","salestatename","homestatename"
"05","01","5","2024","13","JAMMU AND KASHMIR","UTTARAKHAND"
"06","01","5","2024","43","JAMMU AND KASHMIR","HARYANA"
"07","01","5","2024","5","JAMMU AND KASHMIR","DELHI"
"08","01","5","2024","2","JAMMU AND KASHMIR","RAJASTHAN"
"09","01","5","2024","2438","JAMMU AND KASHMIR","UTTAR PRADESH"
"10","01","5","2024","1573","JAMMU AND KASHMIR","BIHAR"
"18","01","5","2024","2","JAMMU AND KASHMIR","ASSAM"
"19","01","5","2024","6","JAMMU AND KASHMIR","WEST BENGAL"
"20","01","5","2024","30","JAMMU AND KASHMIR","JHARKHAND"
"22","01","5","2024","374","JAMMU AND KASHMIR","CHHATTISGARH"
"23","01","5","2024","1009","JAMMU AND KASHMIR","MADHYA PRADESH"
"24","01","5","2024","1","JAMMU AND KASHMIR","GUJARAT"
"27","01","5","2024","32","JAMMU AND KASHMIR","MAHARASHTRA"
"33","01","5","2024","1","JAMMU AND KASHMIR","TAMIL NADU"
"01","02","5","2024","2","HIMACHAL PRADESH","JAMMU AND KASHMIR"
"05","02","5","2024","29","HIMACHAL PRADESH","UTTARAKHAND"
"06","02","5","2024","86","HIMACHAL PRADESH","HARYANA"
"07","02","5","2024","22","HIMACHAL PRADESH","DELHI"
"08","02","5","2024","4","HIMACHAL PRADESH","RAJASTHAN"
"09","02","5","2024","10599","HIMACHAL PRADESH","UTTAR PRADESH"
"10","02","5","2024","2884","HIMACHAL PRADESH","BIHAR"
"19","02","5","2024","15","HIMACHAL PRADESH","WEST BENGAL"
"20","02","5","2024","56","HIMACHAL PRADESH","JHARKHAND"
"22","02","5","2024","3","HIMACHAL PRADESH","CHHATTISGARH"
"23","02","5","2024","162","HIMACHAL PRADESH","MADHYA PRADESH"
"27","02","5","2024","2","HIMACHAL PRADESH","MAHARASHTRA"
"05","04","5","2024","7","CHANDIGARH","UTTARAKHAND"
"06","04","5","2024","1","CHANDIGARH","HARYANA"
"09","04","5","2024","21","CHANDIGARH","UTTAR PRADESH"
"10","04","5","2024","30","CHANDIGARH","BIHAR"
"06","05","5","2024","98","UTTARAKHAND","HARYANA"
"07","05","5","2024","156","UTTARAKHAND","DELHI"
"08","05","5","2024","6","UTTARAKHAND","RAJASTHAN"
"09","05","5","2024","11378","UTTARAKHAND","UTTAR PRADESH"
"10","05","5","2024","1903","UTTARAKHAND","BIHAR"
"18","05","5","2024","1","UTTARAKHAND","ASSAM"
"19","05","5","2024","6","UTTARAKHAND","WEST BENGAL"
"22","05","5","2024","14","UTTARAKHAND","CHHATTISGARH"
"23","05","5","2024","53","UTTARAKHAND","MADHYA PRADESH"
"24","05","5","2024","3","UTTARAKHAND","GUJARAT"
"27","05","5","2024","4","UTTARAKHAND","MAHARASHTRA"
"01","06","5","2024","9","HARYANA","JAMMU AND KASHMIR"
"02","06","5","2024","5","HARYANA","HIMACHAL PRADESH"
"05","06","5","2024","273","HARYANA","UTTARAKHAND"
"07","06","5","2024","666","HARYANA","DELHI"
"08","06","5","2024","893","HARYANA","RAJASTHAN"
"09","06","5","2024","34320","HARYANA","UTTAR PRADESH"
"10","06","5","2024","23893","HARYANA","BIHAR"
"16","06","5","2024","1","HARYANA","TRIPURA"
"18","06","5","2024","11","HARYANA","ASSAM"
"19","06","5","2024","151","HARYANA","WEST BENGAL"
"20","06","5","2024","250","HARYANA","JHARKHAND"
"22","06","5","2024","118","HARYANA","CHHATTISGARH"
"23","06","5","2024","3846","HARYANA","MADHYA PRADESH"
"24","06","5","2024","8","HARYANA","GUJARAT"
"27","06","5","2024","21","HARYANA","MAHARASHTRA"
"28","06","5","2024","1","HARYANA","ANDHRA PRADESH"
"29","06","5","2024","1","HARYANA","KARNATAKA"
"33","06","5","2024","1","HARYANA","TAMIL NADU"
"01","07","5","2024","103","DELHI","JAMMU AND KASHMIR"
"02","07","5","2024","119","DELHI","HIMACHAL PRADESH"
"05","07","5","2024","5696","DELHI","UTTARAKHAND"
"06","07","5","2024","10849","DELHI","HARYANA"
"08","07","5","2024","2666","DELHI","RAJASTHAN"
"09","07","5","2024","179338","DELHI","UTTAR PRADESH"
"10","07","5","2024","174835","DELHI","BIHAR"
"13","07","5","2024","5","DELHI","NAGALAND"
"16","07","5","2024","4","DELHI","TRIPURA"
"18","07","5","2024","79","DELHI","ASSAM"
"19","07","5","2024","1896","DELHI","WEST BENGAL"
"20","07","5","2024","2783","DELHI","JHARKHAND"
"21","07","5","2024","38","DELHI","ODISHA"
"22","07","5","2024","271","DELHI","CHHATTISGARH"
"23","07","5","2024","17076","DELHI","MADHYA PRADESH"
"24","07","5","2024","136","DELHI","GUJARAT"
"27","07","5","2024","186","DELHI","MAHARASHTRA"
"28","07","5","2024","18","DELHI","ANDHRA PRADESH"
"29","07","5","2024","10","DELHI","KARNATAKA"
"32","07","5","2024","55","DELHI","KERALA"
"33","07","5","2024","81","DELHI","TAMIL NADU"
"36","07","5","2024","8","DELHI","TELANGANA"
"38","07","5","2024","2","DELHI","Dadar & Nagar Haveli & Daman & Diu"
"05","08","5","2024","8","RAJASTHAN","UTTARAKHAND"
"06","08","5","2024","665","RAJASTHAN","HARYANA"
"07","08","5","2024","124","RAJASTHAN","DELHI"
"09","08","5","2024","6253","RAJASTHAN","UTTAR PRADESH"
"10","08","5","2024","3097","RAJASTHAN","BIHAR"
"18","08","5","2024","1","RAJASTHAN","ASSAM"
"19","08","5","2024","15","RAJASTHAN","WEST BENGAL"
"20","08","5","2024","34","RAJASTHAN","JHARKHAND"
"22","08","5","2024","102","RAJASTHAN","CHHATTISGARH"
"23","08","5","2024","1955","RAJASTHAN","MADHYA PRADESH"
"24","08","5","2024","71","RAJASTHAN","GUJARAT"
"27","08","5","2024","38","RAJASTHAN","MAHARASHTRA"
"28","08","5","2024","1","RAJASTHAN","ANDHRA PRADESH"
"29","08","5","2024","8","RAJASTHAN","KARNATAKA"
"33","08","5","2024","1","RAJASTHAN","TAMIL NADU"
"36","08","5","2024","1","RAJASTHAN","TELANGANA"
"05","09","5","2024","16","UTTAR PRADESH","UTTARAKHAND"
"06","09","5","2024","285","UTTAR PRADESH","HARYANA"
"07","09","5","2024","283","UTTAR PRADESH","DELHI"
"08","09","5","2024","7","UTTAR PRADESH","RAJASTHAN"
"10","09","5","2024","341","UTTAR PRADESH","BIHAR"
"13","09","5","2024","1","UTTAR PRADESH","NAGALAND"
"18","09","5","2024","1","UTTAR PRADESH","ASSAM"
"19","09","5","2024","1","UTTAR PRADESH","WEST BENGAL"
"20","09","5","2024","42","UTTAR PRADESH","JHARKHAND"
"22","09","5","2024","34","UTTAR PRADESH","CHHATTISGARH"
"23","09","5","2024","73","UTTAR PRADESH","MADHYA PRADESH"
"24","09","5","2024","19","UTTAR PRADESH","GUJARAT"
"27","09","5","2024","250","UTTAR PRADESH","MAHARASHTRA"
"29","09","5","2024","4","UTTAR PRADESH","KARNATAKA"
"32","09","5","2024","1","UTTAR PRADESH","KERALA"
"38","09","5","2024","1","UTTAR PRADESH","Dadar & Nagar Haveli & Daman & Diu"
"01","10","5","2024","1","BIHAR","JAMMU AND KASHMIR"
"05","10","5","2024","39","BIHAR","UTTARAKHAND"
"06","10","5","2024","544","BIHAR","HARYANA"
"07","10","5","2024","1320","BIHAR","DELHI"
"08","10","5","2024","42","BIHAR","RAJASTHAN"
"09","10","5","2024","787","BIHAR","UTTAR PRADESH"
"16","10","5","2024","1","BIHAR","TRIPURA"
"18","10","5","2024","2","BIHAR","ASSAM"
"19","10","5","2024","176","BIHAR","WEST BENGAL"
"20","10","5","2024","843","BIHAR","JHARKHAND"
"21","10","5","2024","1","BIHAR","ODISHA"
"22","10","5","2024","69","BIHAR","CHHATTISGARH"
"23","10","5","2024","63","BIHAR","MADHYA PRADESH"
"24","10","5","2024","53","BIHAR","GUJARAT"
"27","10","5","2024","187","BIHAR","MAHARASHTRA"
"28","10","5","2024","10","BIHAR","ANDHRA PRADESH"
"29","10","5","2024","11","BIHAR","KARNATAKA"
"32","10","5","2024","1","BIHAR","KERALA"
"33","10","5","2024","4","BIHAR","TAMIL NADU"
"36","10","5","2024","19","BIHAR","TELANGANA"
"09","11","5","2024","4","SIKKIM","UTTAR PRADESH"
"10","11","5","2024","79","SIKKIM","BIHAR"
"19","11","5","2024","1","SIKKIM","WEST BENGAL"
"23","11","5","2024","1","SIKKIM","MADHYA PRADESH"
"09","16","5","2024","2","TRIPURA","UTTAR PRADESH"
"10","16","5","2024","76","TRIPURA","BIHAR"
"13","16","5","2024","1","TRIPURA","NAGALAND"
"18","16","5","2024","7","TRIPURA","ASSAM"
"19","16","5","2024","1","TRIPURA","WEST BENGAL"
"10","17","5","2024","8","MEGHALAYA","BIHAR"
"16","17","5","2024","2","MEGHALAYA","TRIPURA"
"18","17","5","2024","2","MEGHALAYA","ASSAM"
"19","17","5","2024","1","MEGHALAYA","WEST BENGAL"
"01","19","5","2024","1","WEST BENGAL","JAMMU AND KASHMIR"
"06","19","5","2024","5","WEST BENGAL","HARYANA"
"07","19","5","2024","44","WEST BENGAL","DELHI"
"09","19","5","2024","158","WEST BENGAL","UTTAR PRADESH"
